"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"FDXR",1.23252749018008,6.22864669147282,9.76030695913183,1.94919958619987e-14,2.09913801590756e-13,22.2758348520467,"Upregulated"
"PIR",1.59154463334207,6.08394139878042,9.75307837712127,2.00694063903307e-14,2.15499363699453e-13,22.2466947492494,"Upregulated"
"ITGB3BP",1.10379672452623,8.55994857179393,9.72973592034242,2.20540146524088e-14,2.3515734228208e-13,22.1525681777388,"Upregulated"
"TLR4",1.41620201114743,6.33092957007482,9.71788438174754,2.31359852502992e-14,2.45694249849732e-13,22.104761725065,"Upregulated"
"EZH2",1.38367087198907,6.57798983809879,9.71676298303588,2.3241084818652e-14,2.4638236738386e-13,22.1002376957912,"Upregulated"
"TIGD2",1.07840417470875,6.48145597235101,9.71636891481893,2.32781314445412e-14,2.46632542283585e-13,22.0986478939047,"Upregulated"
"LRP8",1.29798128514504,4.78100402456103,9.69108835488879,2.57831125800151e-14,2.70981251987093e-13,21.996632977269,"Upregulated"
"SRD5A3",1.0341520616653,5.9575711068325,9.64587260630256,3.09585232064057e-14,3.2005598399407e-13,21.814053063858,"Upregulated"
"ASNS",1.36870817582536,7.75996595656312,9.64229014557393,3.14107071302449e-14,3.24182537292455e-13,21.7995806623179,"Upregulated"
"CCL24",1.74653767406921,6.85356667570817,9.64082813935973,3.15971453684386e-14,3.25923310493343e-13,21.7936741858737,"Upregulated"
"IL33",2.63246429433972,5.26507286231705,9.63778916123309,3.19882481874995e-14,3.29401724738204e-13,21.7813962676429,"Upregulated"
"GGH",1.03515475938518,10.3941306310048,9.61663648817089,3.48486710060706e-14,3.56830458640275e-13,21.6959174978927,"Upregulated"
"AGT",1.2498988426071,6.6308871169195,9.55896229294384,4.40230446580901e-14,4.42401446043491e-13,21.462688395008,"Upregulated"
"PF4",1.61181746694724,7.01153885887866,9.55087127570137,4.54912003746362e-14,4.55657353834422e-13,21.42994997305,"Upregulated"
"CASP4LP",1.22445289728115,6.07963989741464,9.54326222869656,4.69167594102641e-14,4.68656518292072e-13,21.3991574952292,"Upregulated"
"PDZK1IP1",1.41851210101453,9.2998232165227,9.50712406410686,5.43248419681128e-14,5.40889034579364e-13,21.2528571043998,"Upregulated"
"MNS1",1.20281079663824,5.06993714902929,9.49116352460661,5.79605258972603e-14,5.7459245673284e-13,21.1882141160218,"Upregulated"
"CARD6",1.21354086490613,5.61421496810795,9.46255567036229,6.50998991705588e-14,6.39149973655272e-13,21.0723035266549,"Upregulated"
"ART3",1.93152695735271,4.72281466481359,9.37432636881901,9.31814921628181e-14,8.91935577383133e-13,20.7144790260276,"Upregulated"
"HES6",1.18897056952858,7.96935587491059,9.36996294182824,9.48502751327505e-14,9.06962484846008e-13,20.6967693922315,"Upregulated"
"SKA1",1.27012343664634,4.74925331285312,9.36390165529236,9.72183237668456e-14,9.27671205974999e-13,20.6721667062149,"Upregulated"
