"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"RAB27A",-1.00851049408685,8.78845248377315,-10.0197693635241,6.85591061122624e-15,7.96568931550984e-14,23.3190000491549,"Downregulated"
"TCF4",-1.05675552118078,6.45495138240386,-9.96003820903692,8.71580050736818e-15,9.98424617770971e-14,23.0793450284705,"Downregulated"
"EFNA1",-1.02094310215622,9.3283546453118,-9.95494829604138,8.8960354951153e-15,1.01589844944218e-13,23.0589091745262,"Downregulated"
"GHR",-2.45562728528892,5.46054458769093,-9.95041308917592,9.05978327376159e-15,1.0333111022437e-13,23.0406986172243,"Downregulated"
"NDNF",-1.38436332613789,6.28072300108288,-9.94050207180163,9.42825606547764e-15,1.06829084345937e-13,23.0008961668288,"Downregulated"
"GULP1",-1.73893399861943,6.03224632135588,-9.93835761081757,9.50994538127238e-15,1.07661974254652e-13,22.9922829731074,"Downregulated"
"TMEM200A",-2.7072111243082,6.88766193910727,-9.93526677110963,9.62893892167106e-15,1.08807603095162e-13,22.9798679889588,"Downregulated"
"GBA3",-2.49824152546705,5.51193239968736,-9.93009274886625,9.83149257450271e-15,1.10755266471978e-13,22.959083697765,"Downregulated"
"MIR22HG",-1.35997454164426,6.93974166499226,-9.86683193843668,1.26835980861955e-14,1.40215303737689e-13,22.7047831592098,"Downregulated"
"MYO1A",-1.28309163655626,8.59954661293093,-9.83945875688805,1.41630203820201e-14,1.55352747491775e-13,22.5946450831419,"Downregulated"
"GPAT3",-1.39024468561686,7.36866564809231,-9.8140879695516,1.56887763282133e-14,1.70760924545657e-13,22.4925099400026,"Downregulated"
"ABCC13",-1.20202935902071,5.65095570299871,-9.75042460885365,2.02856741194177e-14,2.17640648512155e-13,22.2359957694,"Downregulated"
"MAFB",-1.05476190734895,7.41895825180258,-9.70509574306907,2.43634395115062e-14,2.57091761013247e-13,22.0531631540709,"Downregulated"
"PIGZ",-1.28369743044379,8.56538323760414,-9.70103323729564,2.47668961509822e-14,2.6089883711029e-13,22.0367694717812,"Downregulated"
"ZNF667-AS1",-1.02242932698816,4.61729540245535,-9.67260314072346,2.77846932243161e-14,2.90354002127611e-13,21.9220087362624,"Downregulated"
"CCL28",-1.05139138745952,7.86245862882482,-9.66505411180642,2.86463506519597e-14,2.98338484359421e-13,21.8915261471979,"Downregulated"
"MT1F",-1.78004445901747,10.5144279367536,-9.65959920416313,2.92856486307241e-14,3.03960835250413e-13,21.8694968563274,"Downregulated"
"ADGRL2",-1.08507591910209,4.26886539261591,-9.63697688344809,3.20936060840353e-14,3.30301198418186e-13,21.7781144303516,"Downregulated"
"C1S",-1.35891832571414,8.09149559628005,-9.62075924734881,3.42716792284027e-14,3.51533890966949e-13,21.7125803071125,"Downregulated"
"CCL21",-2.06905848584996,6.13098294741184,-9.61966188508264,3.44243141080836e-14,3.5270498365489e-13,21.7081452587025,"Downregulated"
"JCHAIN",-1.2166414476972,12.0582367459406,-9.59587176197069,3.79065826216038e-14,3.85156080487653e-13,21.6119745758489,"Downregulated"
"DPP10",-1.45509150813509,3.8806145536368,-9.57781586060026,4.07839839259315e-14,4.12563852841469e-13,21.5389568593965,"Downregulated"
"SLC1A1",-1.42015361951812,7.61876489168076,-9.57443172232191,4.13472202645362e-14,4.1757049540286e-13,21.525268856294,"Downregulated"
"MT1X",-1.58628358982694,10.5286661292471,-9.54846312515004,4.59375980929875e-14,4.59877483092462e-13,21.4202050537888,"Downregulated"
"TRDC",-1.31658963793063,5.61763894847388,-9.50537853994052,5.471103446231e-14,5.4414336878458e-13,21.2457882828419,"Downregulated"
"RFTN1",-1.28482057002957,6.74083410873796,-9.5022629775123,5.54072116636596e-14,5.50768705643099e-13,21.233170714388,"Downregulated"
"A1CF",-1.01460503524346,8.16349236816451,-9.50072394574414,5.57543874524479e-14,5.53919537311969e-13,21.2269376147664,"Downregulated"
"PLAC8",-1.4673798674644,11.6667321073727,-9.49712525437425,5.65747357185714e-14,5.6176537795268e-13,21.2123622268312,"Downregulated"
"KAT2B",-1.00968864568717,6.87404808959999,-9.47406120632682,6.21280795687638e-14,6.12596225425337e-13,21.1189272788895,"Downregulated"
"LINC01133",-1.26551262897136,8.31538316151333,-9.36099876934103,9.8373372591572e-14,9.37229949781522e-13,20.660383094608,"Downregulated"
"MT1H",-1.61518359256014,10.8218688656947,-9.3550951102348,1.00765109882181e-13,9.58522881348135e-13,20.6364168590813,"Downregulated"
"TNFSF13B",-1.1992891924013,6.64570713279615,-9.34529688405917,1.04864236782517e-13,9.95450363660126e-13,20.5966355122373,"Downregulated"
"TENT5C",-1.22237475717181,7.66672756991519,-9.27633355135935,1.3886510237004e-13,1.29278476013529e-12,20.3164705750048,"Downregulated"
"CD27",-1.43248778074502,7.20283648630654,-9.27103029140597,1.418985774482e-13,1.31701412469635e-12,20.2949138666346,"Downregulated"
"CD52",-1.44666441072786,7.4521230851379,-9.24823302195497,1.55715029183781e-13,1.43436144411378e-12,20.2022281680888,"Downregulated"
"PALM2AKAP2",-1.21081277891722,7.17581479746701,-9.2329588146097,1.65720069499632e-13,1.51965303731162e-12,20.1401112643384,"Downregulated"
"NEUROD1",-1.07044652139682,4.41604992709764,-9.22065097372485,1.74249782816508e-13,1.5907123030636e-12,20.0900479267829,"Downregulated"
"CPA3",-1.71934363974118,8.59866461883007,-9.19643194279736,1.92343052644646e-13,1.74978749280894e-12,19.9915089028493,"Downregulated"
"AKR1B1",-1.04048418779303,7.85007610181441,-9.18858618005573,1.98599825503245e-13,1.80223691228576e-12,19.9595799038694,"Downregulated"
"UGT2B28",-1.06141906447609,6.37791347978154,-9.15818333029823,2.24836826530581e-13,2.02828696437327e-12,19.8358199012651,"Downregulated"
"CDHR2",-1.11382494838486,7.51777827072246,-9.14407454741601,2.38168111176801e-13,2.14117801910909e-12,19.7783700815258,"Downregulated"
"ISX",-1.60575092020332,8.36029538068463,-9.12617191282273,2.56232575458456e-13,2.29570368046316e-12,19.7054561890022,"Downregulated"
"CDA",-1.8002365003535,7.33352611214763,-9.12119003218896,2.61499789578988e-13,2.33718622849836e-12,19.6851628569036,"Downregulated"
"C1QC",-1.06419298299855,9.00680855772338,-9.08780224522621,2.99717752892162e-13,2.65803848551366e-12,19.5491255959012,"Downregulated"
"ARL14",-1.16196340818541,8.6705823446792,-9.0444388566039,3.5784654356938e-13,3.13115725623207e-12,19.372355400549,"Downregulated"
"TPSAB1",-1.29724993215232,7.52913783948409,-9.01879763920696,3.97411931777855e-13,3.45591978606252e-12,19.2677840357418,"Downregulated"
"WASF3",-1.40516445543481,4.34176020728457,-9.01494577523471,4.03723491947937e-13,3.50415941425706e-12,19.2520723108056,"Downregulated"
"SGK1",-1.5357977609568,8.67492717508214,-9.01047057966314,4.11182852476845e-13,3.56552884842806e-12,19.2338170952016,"Downregulated"
"DPP4",-1.54159417434115,6.79166648726916,-9.0011508259169,4.27164117715724e-13,3.69015069190126e-12,19.1957967835263,"Downregulated"
"SLAMF7",-1.24379556534169,6.80158026249056,-8.96655103114577,4.92143526643688e-13,4.20592370859517e-12,19.0546085218719,"Downregulated"
"DOCK2",-1.09790981998596,5.80147010647825,-8.93734983668479,5.54645755647416e-13,4.68201256979526e-12,18.9354054957335,"Downregulated"
"BEX4",-1.63764491817737,6.58412272317247,-8.93725980019932,5.5485029692368e-13,4.68201256979526e-12,18.9350378937323,"Downregulated"
"RHOH",-1.03640915899306,5.19916795166156,-8.93708655403565,5.55244083523785e-13,4.68201256979526e-12,18.9343305612438,"Downregulated"
"PTPRC",-1.44672276565875,6.92121982474045,-8.91058115169053,6.18916075349784e-13,5.16420419559374e-12,18.8260976492777,"Downregulated"
"B3GALT5-AS1",-1.04566639246346,4.80028852848399,-8.89967911978496,6.47185806261073e-13,5.38782918149255e-12,18.7815707640367,"Downregulated"
"CCL2",-1.12556320659192,7.04542203622419,-8.89520043998736,6.59171416392857e-13,5.4826320982517e-12,18.7632770736958,"Downregulated"
"C1QB",-1.14914456232405,8.23742143627379,-8.88761679902946,6.79976279921853e-13,5.63523044453989e-12,18.7322987849783,"Downregulated"
"MXRA5",-1.33452854581087,6.84499159084684,-8.88461975104008,6.88378801299985e-13,5.69457249248612e-12,18.7200554962484,"Downregulated"
"TYROBP",-1.00114402849405,8.17989058308655,-8.84825374572976,7.99028850837399e-13,6.55082213873844e-12,18.5714651927742,"Downregulated"
